일자,계(명),국내발생(명),해외유입(명),사망(명)
2022-01-01,"4,411","4,306",105,62
2022-01-02,"3,825","3,676",149,69
2022-01-03,"3,124","2,989",135,36
2022-01-04,"3,019","2,886",133,51
2022-01-05,"4,441","4,231",210,57
2022-01-06,"4,118","3,927",191,49
2022-01-07,"3,706","3,521",185,45
2022-01-08,"3,502","3,292",210,54
2022-01-09,"3,365","3,132",233,51
2022-01-10,"3,003","2,765",238,34
2022-01-11,"3,087","2,805",282,43
2022-01-12,"4,380","4,004",376,52
2022-01-13,"4,158","3,773",385,44
2022-01-14,"4,534","4,128",406,49
2022-01-15,"4,412","4,068",344,22
2022-01-16,"4,183","3,808",375,29
2022-01-17,"3,852","3,548",304,23
2022-01-18,"4,064","3,758",306,45
2022-01-19,"5,795","5,421",374,74
2022-01-20,"6,598","6,354",244,28
2022-01-21,"6,762","6,478",284,21
2022-01-22,"6,987","6,714",273,28
2022-01-23,"7,620","7,338",282,11
2022-01-24,"7,505","7,153",352,25
2022-01-25,"8,568","8,354",214,23
2022-01-26,"12,998","12,732",266,32
2022-01-27,"14,506","14,289",217,34
2022-01-28,"16,079","15,880",199,24
2022-01-29,"17,499","17,310",189,34
2022-01-30,"17,513","17,288",225,20
2022-01-31,"17,066","16,837",229,23
2022-02-01,"18,327","18,108",219,17
2022-02-02,"20,259","20,097",162,15
2022-02-03,"22,832","22,698",134,25
2022-02-04,"27,421","27,265",156,24
2022-02-05,"36,309","36,127",182,22
2022-02-06,"38,674","38,483",191,15
2022-02-07,"35,255","35,107",148,13
2022-02-08,"36,696","36,596",100,36
2022-02-09,"49,511","49,346",165,21
2022-02-10,"54,103","54,016",87,20
2022-02-11,"53,862","53,751",111,49
2022-02-12,"54,917","54,806",111,33
2022-02-13,"56,363","56,234",129,36
2022-02-14,"54,524","54,419",105,21
2022-02-15,"57,140","56,972",168,61
2022-02-16,"90,411","90,248",163,39
2022-02-17,"93,104","93,013",91,36
2022-02-18,"109,781","109,666",115,45
2022-02-19,"102,174","102,035",139,71
2022-02-20,"104,794","104,695",99,51
2022-02-21,"95,337","95,192",145,45
2022-02-22,"99,531","99,401",130,58
2022-02-23,"171,415","171,235",180,99
2022-02-24,"169,974","169,806",168,82
2022-02-25,"165,834","165,694",140,94
2022-02-26,"166,169","166,027",142,112
2022-02-27,"163,525","163,372",153,49
2022-02-28,"139,604","139,444",160,114
2022-03-01,"138,966","138,907",59,112
2022-03-02,"219,195","219,126",69,96
2022-03-03,"198,783","198,728",55,128
2022-03-04,"266,820","266,738",82,185
2022-03-05,"254,284","254,206",78,216
2022-03-06,"243,589","243,501",88,161
2022-03-07,"210,679","210,589",90,139
2022-03-08,"202,645","202,570",75,186
2022-03-09,"342,396","342,336",60,158
2022-03-10,"327,492","327,435",57,206
2022-03-11,"282,949","282,842",107,229
2022-03-12,"383,611","383,537",74,269
2022-03-13,"350,126","350,091",35,251
2022-03-14,"309,741","309,679",62,200
2022-03-15,"362,222","362,167",55,293
2022-03-16,"400,445","400,369",76,164
2022-03-17,"621,035","620,977",58,429
2022-03-18,"406,778","406,739",39,301
2022-03-19,"381,317","381,254",63,319
2022-03-20,"334,545","334,521",24,327
2022-03-21,"209,087","209,047",40,329
2022-03-22,"353,850","353,805",45,384
2022-03-23,"490,671","490,626",45,291
2022-03-24,"395,487","395,420",67,469
2022-03-25,"339,420","339,391",29,393
2022-03-26,"335,475","335,426",49,323
2022-03-27,"318,013","317,968",45,282
2022-03-28,"187,129","187,099",30,287
2022-03-29,"347,434","347,393",41,237
2022-03-30,"424,532","424,500",32,432
2022-03-31,"320,654","320,629",25,375
2022-04-01,"280,210","280,157",53,360
2022-04-02,"264,132","264,066",66,339
2022-04-03,"234,233","234,208",25,306
2022-04-04,"127,154","127,134",20,218
2022-04-05,"266,066","266,030",36,209
2022-04-06,"286,222","286,199",23,371
2022-04-07,"224,763","224,722",41,348
2022-04-08,"205,286","205,249",37,373
2022-04-09,"185,506","185,461",45,338
2022-04-10,"164,426","164,394",32,329
2022-04-11,"90,895","90,869",26,258
2022-04-12,"210,695","210,648",47,171
2022-04-13,"195,363","195,323",40,184
2022-04-14,"148,412","148,377",35,318
2022-04-15,"125,807","125,790",17,264
2022-04-16,"107,877","107,846",31,273
2022-04-17,"92,957","92,935",22,203
2022-04-18,"47,715","47,701",14,132
2022-04-19,"118,460","118,432",28,130
2022-04-20,"111,278","111,262",16,166
2022-04-21,"90,830","90,795",35,147
2022-04-22,"81,033","81,014",19,206
2022-04-23,"75,401","75,366",35,151
2022-04-24,"64,672","64,635",37,109
2022-04-25,"34,358","34,319",39,110
2022-04-26,"80,324","80,299",25,82
2022-04-27,"76,751","76,712",39,141
2022-04-28,"57,448","57,423",25,122
2022-04-29,"50,552","50,521",31,136
2022-04-30,"43,269","43,251",18,70
2022-05-01,"37,753","37,716",37,81
2022-05-02,"20,067","20,040",27,83
2022-05-03,"51,110","51,068",42,49
2022-05-04,"49,048","49,014",34,72
2022-05-05,"42,281","42,253",28,79
2022-05-06,"26,691","26,663",28,48
2022-05-07,"39,584","39,557",27,83
2022-05-08,"40,038","40,022",16,71
2022-05-09,"20,581","20,565",16,40
2022-05-10,"49,914","49,891",23,62
2022-05-11,"43,905","43,868",37,29
2022-05-12,"35,889","35,875",14,63
2022-05-13,"32,433","32,419",14,52
2022-05-14,"29,567","29,541",26,55
2022-05-15,"25,418","25,392",26,48
2022-05-16,"13,285","13,258",27,35
2022-05-17,"35,101","35,076",25,27
2022-05-18,"31,337","31,302",35,31
2022-05-19,"28,117","28,103",14,40
2022-05-20,"25,116","25,094",22,43
2022-05-21,"23,447","23,435",12,26
2022-05-22,"19,283","19,258",25,54
2022-05-23,"9,970","9,952",18,22
2022-05-24,"26,332","26,290",42,19
2022-05-25,"23,938","23,917",21,23
2022-05-26,"18,805","18,772",33,34
2022-05-27,"16,567","16,522",45,40
2022-05-28,"14,388","14,344",44,36
2022-05-29,"12,642","12,616",26,19
2022-05-30,"6,132","6,085",47,9
2022-05-31,"17,175","17,132",43,9
2022-06-01,"15,782","15,735",47,21
2022-06-02,"9,882","9,849",33,15
2022-06-03,"12,527","12,492",35,17
2022-06-04,"12,018","11,978",40,9
2022-06-05,"9,825","9,778",47,20
2022-06-06,"5,011","4,994",17,21
2022-06-07,"6,171","6,135",36,20
2022-06-08,"13,335","13,274",61,6
2022-06-09,"12,143","12,080",63,18
2022-06-10,"9,301","9,254",47,18
2022-06-11,"8,432","8,370",62,10
2022-06-12,"7,369","7,290",79,20
2022-06-13,"3,814","3,759",55,17
2022-06-14,"9,761","9,719",42,2
2022-06-15,"9,417","9,318",99,9
2022-06-16,"7,970","7,885",85,8
2022-06-17,"7,185","7,117",68,9
2022-06-18,"6,816","6,739",77,11
2022-06-19,"6,060","5,977",83,14
2022-06-20,"3,516","3,422",94,10
2022-06-21,"9,289","9,216",73,12
2022-06-22,"8,970","8,868",102,11
2022-06-23,"7,487","7,396",91,14
2022-06-24,"7,187","7,075",112,10
2022-06-25,"6,772","6,659",113,18
2022-06-26,"6,234","6,099",135,6
2022-06-27,"3,416","3,305",111,3
2022-06-28,"9,879","9,762",117,5
2022-06-29,"10,428","10,227",201,7
2022-06-30,"9,583","9,439",144,10
2022-07-01,"9,511","9,373",138,8
2022-07-02,"10,701","10,529",172,7
2022-07-03,"10,028","9,845",183,8
2022-07-04,"6,232","6,076",156,4
2022-07-05,"18,114","17,950",164,2
2022-07-06,"19,335","19,112",223,7
2022-07-07,"18,482","18,287",195,10
2022-07-08,"19,286","19,100",186,12
2022-07-09,"20,253","20,037",216,19
