老磊,拌(疙),0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑
2023-03-01,"12,286",571,"1,093","1,873","1,890","1,764","1,705","1,543","1,011",836
2023-03-02,"7,547",447,806,"1,154","1,191","1,096","1,001",889,548,415
2023-03-03,"10,403",504,931,"1,623","1,705","1,610","1,450","1,289",816,475
2023-03-04,"11,241",541,"1,075","1,719","1,704","1,530","1,571","1,516",936,649
2023-03-05,"9,807",487,"1,058","1,419","1,395","1,417","1,392","1,298",802,539
2023-03-06,"4,293",327,505,660,727,651,494,469,245,215
2023-03-07,"12,272",670,"1,459","1,877","1,972","1,811","1,651","1,425",878,529
2023-03-08,"12,787",686,"1,655","1,883","1,953","1,751","1,682","1,580",902,695
2023-03-09,"10,881",611,"1,456","1,652","1,653","1,440","1,449","1,315",755,550
2023-03-10,"10,327",646,"1,583","1,564","1,440","1,392","1,347","1,124",735,496
2023-03-11,"9,999",614,"1,601","1,455","1,330","1,354","1,263","1,214",675,493
2023-03-12,"9,331",589,"1,525","1,383","1,200","1,273","1,196","1,052",652,461
2023-03-13,"4,196",348,731,624,612,608,477,388,238,170
2023-03-14,"11,397",734,"2,094","1,700","1,812","1,623","1,311","1,027",700,396
2023-03-15,"11,892",749,"2,080","1,766","1,680","1,592","1,376","1,283",773,593
2023-03-16,"9,928",645,"1,732","1,501","1,413","1,335","1,249","1,014",637,402
2023-03-17,"9,061",590,"1,507","1,275","1,307","1,263","1,056",989,612,462
2023-03-18,"9,246",576,"1,721","1,249","1,224","1,256","1,168","1,011",605,436
2023-03-19,"8,800",520,"1,525","1,276","1,130","1,204","1,085","1,025",580,455
2023-03-20,"3,924",310,717,582,579,550,462,378,191,155
2023-03-21,"12,009",732,"2,189","1,846","1,818","1,746","1,386","1,110",732,450
2023-03-22,"13,071",725,"2,320","1,965","1,835","1,863","1,520","1,322",888,633
2023-03-23,"11,395",611,"1,804","1,739","1,633","1,642","1,384","1,292",795,495
2023-03-24,"10,275",618,"1,680","1,511","1,430","1,538","1,254","1,087",682,475
2023-03-25,"10,446",606,"1,772","1,527","1,476","1,456","1,197","1,151",757,504
2023-03-26,"9,354",500,"1,413","1,408","1,275","1,266","1,220","1,180",697,395
2023-03-27,"4,199",310,664,647,697,635,461,410,194,181
2023-03-28,"12,122",654,"1,893","1,949","1,950","1,818","1,469","1,172",769,448
2023-03-29,"13,127",690,"2,057","2,092","1,921","1,863","1,578","1,447",827,652
2023-03-30,"11,028",594,"1,533","1,788","1,657","1,600","1,388","1,227",744,497
2023-03-31,"10,358",555,"1,388","1,609","1,611","1,497","1,278","1,236",709,475
2023-04-01,"10,515",568,"1,497","1,538","1,523","1,452","1,382","1,299",783,473
2023-04-02,"9,686",468,"1,214","1,408","1,397","1,466","1,275","1,216",757,485
2023-04-03,"4,348",301,533,626,797,698,493,444,273,183
2023-04-04,"13,363",645,"1,778","2,157","2,304","2,061","1,678","1,343",893,504
2023-04-05,"14,454",703,"1,858","2,351","2,324","2,014","1,870","1,596",999,739
2023-04-06,"12,071",558,"1,418","2,017","1,924","1,698","1,608","1,411",861,576
2023-04-07,"10,724",496,"1,185","1,736","1,755","1,453","1,424","1,331",801,543
2023-04-08,"10,360",455,"1,177","1,483","1,612","1,491","1,329","1,372",854,587
2023-04-09,"9,538",431,"1,044","1,338","1,430","1,354","1,257","1,326",812,546
2023-04-10,"3,995",224,429,643,637,617,428,477,322,218
2023-04-11,"12,436",538,"1,426","1,878","2,093","1,949","1,652","1,440",942,518
2023-04-12,"13,917",583,"1,575","2,202","2,202","2,023","1,756","1,727","1,096",753
2023-04-13,"11,589",473,"1,355","1,774","1,817","1,684","1,497","1,493",897,599
2023-04-14,"11,661",526,"1,154","1,726","1,830","1,696","1,471","1,627","1,001",630
2023-04-15,"11,674",502,"1,178","1,609","1,755","1,674","1,584","1,605","1,024",743
2023-04-16,"10,182",460,935,"1,391","1,558","1,447","1,417","1,463",934,577
2023-04-17,"4,936",277,551,740,911,768,626,529,286,248
2023-04-18,"15,163",638,"1,552","2,214","2,657","2,471","1,992","1,762","1,175",702
2023-04-19,"16,495",691,"1,638","2,458","2,688","2,344","2,202","2,130","1,365",979
2023-04-20,"14,084",608,"1,376","1,998","2,324","2,030","1,925","1,942","1,110",771
2023-04-21,"13,588",567,"1,371","1,889","2,128","1,896","1,828","1,999","1,164",746
2023-04-22,"13,789",553,"1,466","1,834","2,086","1,979","1,819","1,986","1,228",838
2023-04-23,"11,821",486,"1,154","1,555","1,753","1,585","1,616","1,817","1,122",733
2023-04-24,"5,020",283,474,664,889,763,700,608,373,266
2023-04-25,"14,809",651,"1,342","1,953","2,590","2,316","1,963","1,975","1,291",728
2023-04-26,"16,378",648,"1,449","2,270","2,742","2,307","2,231","2,303","1,426","1,002"
2023-04-27,"14,272",617,"1,160","2,061","2,379","2,082","1,875","2,057","1,204",837
2023-04-28,"13,778",513,"1,022","1,939","2,210","1,923","1,962","2,168","1,265",776
2023-04-29,"14,807",563,"1,197","1,936","2,354","2,022","2,113","2,218","1,426",978
2023-04-30,"13,610",477,"1,194","1,677","2,067","1,882","1,957","2,103","1,383",870
2023-05-01,"5,771",282,515,795,988,906,737,721,462,365
2023-05-02,"15,729",609,"1,421","2,195","2,551","2,359","2,188","2,213","1,412",781
2023-05-03,"20,190",720,"1,791","2,991","3,488","2,901","2,670","2,824","1,684","1,121"
2023-05-04,"20,139",713,"1,675","2,934","3,178","2,820","2,759","2,991","1,813","1,256"
2023-05-05,"18,738",689,"1,518","2,701","2,921","2,584","2,574","2,864","1,766","1,121"
2023-05-06,"11,787",528,"1,170","1,585","1,816","1,574","1,596","1,726","1,021",771
2023-05-07,"14,734",535,"1,343","1,928","2,187","2,185","1,966","2,253","1,494",843
2023-05-08,"8,154",438,878,"1,213","1,353","1,210",988,"1,034",631,409
2023-05-09,"21,674",887,"2,394","3,265","3,721","3,311","2,692","2,662","1,667","1,075"
2023-05-10,"23,513",951,"2,512","3,684","3,599","3,321","2,985","3,062","1,994","1,405"
2023-05-11,"20,567",874,"2,264","3,197","3,261","3,021","2,581","2,708","1,642","1,019"
2023-05-12,"19,983",889,"2,171","3,050","3,141","2,741","2,536","2,686","1,623","1,146"
2023-05-13,"19,341",828,"2,166","2,814","2,919","2,649","2,500","2,657","1,652","1,156"
2023-05-14,"17,382",681,"1,994","2,449","2,547","2,369","2,238","2,548","1,575",981
2023-05-15,"7,173",357,934,"1,074","1,196","1,084",854,810,504,360
2023-05-16,"23,670",898,"3,011","3,416","4,070","3,535","2,954","2,781","1,886","1,119"
2023-05-17,"26,127","1,034","3,496","3,871","3,899","3,558","3,218","3,323","2,135","1,593"
2023-05-18,"21,783",809,"2,572","3,308","3,239","2,996","2,878","2,923","1,873","1,185"
2023-05-19,"19,576",787,"2,401","2,842","2,960","2,658","2,536","2,656","1,670","1,066"
2023-05-20,"18,098",709,"2,207","2,535","2,646","2,498","2,273","2,613","1,585","1,032"
2023-05-21,"16,802",704,"2,011","2,251","2,451","2,423","2,206","2,408","1,442",906
2023-05-22,"6,794",352,910,964,"1,094","1,022",825,834,452,341
2023-05-23,"21,376",790,"3,055","3,137","3,350","3,084","2,684","2,582","1,763",931
2023-05-24,"22,950",846,"3,291","3,388","3,472","3,042","2,911","2,969","1,850","1,181"
2023-05-25,"19,070",764,"2,304","2,923","2,890","2,642","2,419","2,564","1,606",958
2023-05-26,"17,925",722,"2,212","2,572","2,700","2,446","2,258","2,537","1,593",885
2023-05-27,"17,792",729,"2,305","2,417","2,536","2,324","2,283","2,613","1,641",944
2023-05-28,"11,724",523,"1,544","1,545","1,703","1,621","1,537","1,644",992,615
2023-05-29,"6,863",357,945,"1,001","1,103","1,075",771,763,507,341
2023-05-30,"13,517",536,"1,568","1,810","2,258","2,002","1,823","1,768","1,144",608
2023-05-31,"24,405",890,"3,166","3,621","4,038","3,697","3,102","2,997","1,905",989
2023-06-01,"24,598",902,"2,946","3,764","3,849","3,454","3,197","3,332","1,962","1,192"
2023-06-02,"19,718",826,"2,172","2,844","3,118","2,782","2,676","2,890","1,558",852
2023-06-03,"18,736",796,"2,231","2,518","2,777","2,584","2,512","2,754","1,623",941
2023-06-04,"16,171",654,"1,747","2,074","2,221","2,342","2,293","2,500","1,558",782
2023-06-05,"6,945",406,820,938,"1,081","1,057",907,895,509,332
2023-06-06,"19,506",755,"2,009","2,595","3,090","2,953","2,664","2,728","1,839",873
2023-06-07,"15,154",675,"1,498","2,182","2,288","2,246","2,095","2,174","1,187",809
2023-06-08,"20,448",843,"2,162","2,967","3,387","3,162","2,713","2,755","1,627",832
2023-06-09,"21,211",818,"2,283","3,090","3,386","2,951","2,756","3,067","1,875",985
2023-06-10,"17,764",762,"1,833","2,403","2,770","2,406","2,383","2,640","1,617",950
2023-06-11,"16,001",673,"1,495","2,003","2,369","2,311","2,206","2,662","1,466",816
2023-06-12,"4,977",283,559,638,811,778,636,644,382,246
2023-06-13,"20,804",826,"2,276","2,621","3,375","3,295","2,734","2,894","1,849",934
2023-06-14,"20,709",806,"2,391","2,691","3,202","2,940","2,727","3,023","1,790","1,139"
2023-06-15,"17,418",749,"1,836","2,368","2,678","2,486","2,315","2,621","1,568",797
2023-06-16,"16,485",727,"1,922","2,062","2,461","2,286","2,211","2,560","1,461",795
2023-06-17,"16,747",753,"2,138","2,031","2,425","2,275","2,242","2,478","1,559",846
2023-06-18,"15,316",684,"1,807","1,781","2,079","2,115","2,118","2,448","1,472",812
2023-06-19,"6,375",398,842,821,"1,040",953,791,782,457,291
2023-06-20,"19,734",823,"2,545","2,389","3,136","2,999","2,617","2,680","1,682",863
2023-06-21,"20,961",961,"2,801","2,696","3,217","2,878","2,647","2,870","1,812","1,079"
2023-06-22,"17,131",856,"2,070","2,326","2,659","2,423","2,166","2,397","1,427",807
2023-06-23,"16,246",781,"2,075","2,064","2,446","2,249","2,070","2,336","1,425",800
2023-06-24,"16,413",794,"2,201","2,060","2,402","2,129","2,107","2,479","1,456",785
2023-06-25,"16,062",840,"2,042","1,841","2,178","2,255","2,135","2,528","1,440",803
2023-06-26,"6,592",475,964,775,"1,062",987,832,758,465,274
2023-06-27,"20,847",968,"2,785","2,594","3,350","3,185","2,673","2,707","1,735",850
2023-06-28,"21,533","1,021","2,760","2,860","3,282","3,110","2,737","2,829","1,791","1,143"
2023-06-29,"19,297",926,"2,193","2,705","3,152","2,709","2,473","2,680","1,576",883
2023-06-30,"18,877",962,"2,274","2,659","2,946","2,681","2,379","2,585","1,557",834
2023-07-01,"18,882",957,"2,437","2,524","2,713","2,621","2,328","2,692","1,639",971
2023-07-02,"17,590",855,"2,114","2,130","2,416","2,624","2,359","2,646","1,607",839
2023-07-03,"7,513",514,"1,000",941,"1,224","1,150",933,876,532,343
2023-07-04,"25,660","1,194","3,474","3,424","4,205","3,949","3,279","3,154","1,986",995
2023-07-05,"27,434","1,301","3,791","3,866","4,313","3,844","3,465","3,484","2,056","1,314"
2023-07-06,"24,356","1,096","3,026","3,794","3,809","3,468","3,043","3,188","1,907","1,025"
2023-07-07,"24,767","1,131","3,250","3,548","3,797","3,464","3,178","3,253","2,035","1,111"
2023-07-08,"25,672","1,135","3,927","3,376","3,712","3,499","3,249","3,540","2,101","1,133"
2023-07-09,"22,566","1,017","3,173","2,772","3,182","3,140","3,080","3,211","1,976","1,015"
2023-07-10,"9,255",548,"1,343","1,252","1,424","1,439","1,132","1,073",607,437
2023-07-11,"31,224","1,203","5,289","3,950","4,855","4,608","3,821","3,842","2,468","1,188"
2023-07-12,"34,118","1,496","5,981","4,576","4,953","4,754","3,990","4,230","2,569","1,569"
2023-07-13,"29,347","1,256","4,475","4,032","4,486","4,260","3,629","3,711","2,286","1,212"
2023-07-14,"29,556","1,239","4,788","3,791","4,299","4,140","3,704","3,889","2,389","1,317"
2023-07-15,"30,870","1,327","5,498","3,827","4,127","4,171","3,803","4,013","2,662","1,442"
2023-07-16,"28,420","1,125","4,403","3,234","3,745","3,971","3,886","4,109","2,532","1,415"
2023-07-17,"12,114",652,"1,985","1,490","1,679","1,831","1,612","1,463",838,564
2023-07-18,"41,993","1,482","7,129","5,054","6,181","6,182","5,400","5,258","3,447","1,860"
2023-07-19,"47,028","1,846","7,919","6,004","6,590","6,658","5,830","6,009","3,806","2,366"
2023-07-20,"40,856","1,565","5,369","5,732","6,131","6,084","5,402","5,499","3,233","1,841"
2023-07-21,"40,897","1,630","5,034","5,355","5,985","6,134","5,441","5,711","3,515","2,092"
2023-07-22,"42,497","1,634","5,485","5,345","5,902","6,178","5,670","6,114","3,881","2,288"
2023-07-23,"41,573","1,553","5,076","4,933","5,664","6,062","5,979","6,244","3,907","2,155"
2023-07-24,"16,778",830,"1,982","2,135","2,483","2,687","2,294","2,247","1,350",770
2023-07-25,"50,813","1,703","4,076","6,513","8,043","8,142","7,376","7,406","5,012","2,542"
2023-07-26,"57,216","2,019","5,075","8,113","8,450","8,617","7,946","8,369","5,311","3,316"
2023-07-27,"51,239","1,708","4,110","7,508","7,886","7,873","7,197","7,483","4,802","2,672"
2023-07-28,"48,069","1,693","3,586","6,915","7,125","7,281","6,877","7,270","4,653","2,669"
2023-07-29,"48,196","1,614","3,302","6,621","7,073","7,259","6,849","7,696","4,899","2,883"
2023-07-30,"44,749","1,559","3,010","5,798","6,122","6,669","6,817","7,453","4,685","2,636"
2023-07-31,"18,379",892,"1,372","2,527","2,868","2,941","2,543","2,642","1,547","1,047"
2023-08-01,"56,096","1,676","3,194","7,968","8,972","8,466","8,313","8,596","5,716","3,195"
2023-08-02,"64,148","1,978","4,181","9,461","9,777","9,526","9,172","9,797","6,226","4,030"
2023-08-03,"55,453","1,816","3,731","8,424","8,447","8,267","7,987","8,567","5,133","3,081"
2023-08-04,"54,713","1,817","3,739","8,099","8,242","8,178","7,854","8,504","5,260","3,020"
2023-08-05,"53,111","1,785","3,538","7,412","7,729","7,770","7,774","8,550","5,306","3,247"
2023-08-06,"48,885","1,751","3,316","6,073","6,933","7,405","7,401","8,310","4,877","2,819"
2023-08-07,"20,241","1,039","1,501","2,773","3,274","3,272","2,922","2,737","1,659","1,064"
2023-08-08,"61,377","2,090","3,917","8,480","9,959","9,462","8,901","9,027","6,039","3,502"
2023-08-09,"65,696","2,149","4,615","9,633","10,113","9,599","9,299","9,884","6,118","4,286"
2023-08-10,"55,874","2,085","4,091","8,525","8,777","8,191","7,631","8,223","5,203","3,148"
2023-08-11,"49,335","1,820","3,430","7,005","7,544","7,230","7,141","7,848","4,563","2,754"
2023-08-12,"47,840","1,957","3,367","6,316","6,737","6,702","6,987","7,645","4,994","3,135"
2023-08-13,"45,729","1,858","3,128","5,539","6,311","6,623","6,988","7,763","4,698","2,821"
2023-08-14,"17,226","1,003","1,351","2,161","2,717","2,596","2,437","2,435","1,475","1,051"
2023-08-15,"47,110","1,917","3,298","5,989","7,136","6,963","7,017","7,297","4,776","2,717"
2023-08-16,"36,961","1,554","2,793","4,893","5,538","5,499","5,286","5,524","3,340","2,534"
2023-08-17,"49,848","1,897","4,263","7,248","8,145","7,396","7,104","6,857","4,383","2,555"
2023-08-18,"50,920","2,032","4,814","7,287","7,576","7,035","7,099","7,472","4,568","3,037"
2023-08-19,"44,053","1,991","4,448","5,877","6,325","5,998","5,995","6,658","4,111","2,650"
2023-08-20,"38,974","1,691","3,674","4,778","5,286","5,430","5,691","6,313","3,772","2,339"
2023-08-21,"14,564",864,"1,722","1,872","2,181","2,213","1,911","1,852","1,154",795
2023-08-22,"47,384","2,064","5,965","6,030","7,037","6,785","6,428","6,446","4,184","2,445"
2023-08-23,"48,161","2,215","6,215","6,436","6,918","6,598","6,206","6,602","4,175","2,796"
2023-08-24,"40,815","2,013","5,109","5,616","5,898","5,723","5,343","5,599","3,404","2,110"
2023-08-25,"37,505","1,791","4,974","4,810","5,212","5,094","4,870","5,387","3,343","2,024"
2023-08-26,"36,886","1,864","5,680","4,386","4,842","4,839","4,662","5,245","3,311","2,057"
2023-08-27,"32,967","1,704","4,662","3,647","4,178","4,537","4,553","4,871","3,094","1,721"
2023-08-28,"13,149",883,"2,109","1,540","1,889","1,944","1,614","1,604",884,682
