일자,계(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2022-01-01,"4,411","1,462",212,125,241,92,65,50,16,"1,389",59,104,138,85,48,116,162,23
2022-01-02,"3,825","1,175",216,86,233,93,59,58,12,"1,277",59,50,101,79,42,94,141,19
2022-01-03,"3,124",989,173,98,187,75,49,38,10,917,54,47,115,86,35,49,132,28
2022-01-04,"3,019",937,145,84,171,61,34,34,11,946,63,61,114,92,46,62,116,18
2022-01-05,"4,441","1,410",255,112,271,75,51,48,17,"1,467",69,68,139,97,60,97,114,43
2022-01-06,"4,118","1,207",227,110,282,91,41,30,18,"1,525",57,45,79,70,59,89,103,19
2022-01-07,"3,706","1,032",206,99,181,87,29,38,14,"1,260",90,90,113,84,124,109,102,10
2022-01-08,"3,502",988,181,108,203,89,47,27,12,"1,207",81,53,96,67,96,85,101,9
2022-01-09,"3,365",957,158,108,185,92,40,34,13,"1,114",77,34,111,76,112,93,97,11
2022-01-10,"3,003",779,165,93,125,133,33,23,13,"1,014",60,30,101,96,86,88,80,13
2022-01-11,"3,087",750,115,71,154,176,43,22,16,"1,112",88,53,105,57,88,60,92,15
2022-01-12,"4,380","1,089",164,93,262,158,90,27,14,"1,628",117,68,114,58,164,77,119,5
2022-01-13,"4,158",973,162,124,240,188,68,27,7,"1,533",89,61,131,106,136,99,115,7
2022-01-14,"4,534",937,127,90,266,223,66,40,8,"1,853",144,71,106,102,133,93,126,6
2022-01-15,"4,412",906,143,126,248,207,53,17,15,"1,820",79,82,121,123,154,95,116,13
2022-01-16,"4,183",917,145,157,259,183,53,19,20,"1,586",74,39,114,123,169,108,123,8
2022-01-17,"3,852",784,117,176,199,242,82,19,7,"1,427",79,42,104,124,166,95,119,12
2022-01-18,"4,064",757,114,171,196,184,107,35,23,"1,530",94,58,145,151,139,138,142,3
2022-01-19,"5,795","1,224",190,213,424,226,118,44,26,"2,173",148,81,183,143,154,170,201,13
2022-01-20,"6,598","1,361",203,364,418,354,97,72,9,"2,418",111,175,217,138,160,226,223,10
2022-01-21,"6,762","1,549",216,388,452,242,111,82,17,"2,428",161,87,193,165,199,234,188,14
2022-01-22,"6,987","1,583",236,444,569,252,119,51,12,"2,419",99,150,199,171,154,207,219,18
2022-01-23,"7,620","1,691",292,458,610,316,159,91,24,"2,710",89,110,206,140,196,215,226,27
2022-01-24,"7,505","1,677",298,479,582,286,158,69,33,"2,439",100,146,265,200,206,234,234,20
2022-01-25,"8,568","1,722",343,489,670,315,226,101,69,"2,916",165,124,311,238,191,281,344,32
2022-01-26,"12,998","3,171",563,670,879,396,370,148,77,"4,220",163,246,417,299,286,445,541,53
2022-01-27,"14,506","3,422",741,770,"1,026",343,413,148,76,"4,765",189,294,438,310,294,489,660,72
2022-01-28,"16,079","3,985",821,864,"1,240",422,370,158,58,"5,173",212,299,536,381,327,537,603,44
2022-01-29,"17,499","4,194",808,879,"1,613",422,429,199,43,"5,626",207,308,507,543,314,589,696,76
2022-01-30,"17,513","4,177",851,908,"1,316",477,449,212,76,"5,708",221,351,675,436,319,597,629,69
2022-01-31,"17,066","4,184",770,980,"1,225",482,446,202,78,"5,103",277,356,676,530,293,587,753,74
2022-02-01,"18,327","4,126",980,965,"1,381",500,462,253,108,"5,533",254,407,730,585,411,619,858,86
2022-02-02,"20,259","4,204","1,265","1,147","1,399",618,481,300,140,"6,048",354,459,889,656,468,777,901,122
2022-02-03,"22,832","5,215","1,279","1,256","1,535",694,559,270,138,"6,491",469,570,915,945,454,935,910,168
2022-02-04,"27,421","6,154","1,724","1,713","1,778",829,762,471,251,"7,223",636,628,"1,072","1,061",648,"1,144","1,064",212
2022-02-05,"36,309","8,588","1,926","1,640","2,499","1,244","1,032",503,296,"10,444",697,773,"1,158","1,282",965,"1,485","1,482",242
2022-02-06,"38,674","7,817","2,171","1,970","2,238","1,186","1,189",571,270,"11,947",786,952,"1,526","1,012","1,192","1,749","1,763",284
2022-02-07,"35,255","6,881","1,926","1,971","2,375","1,209",969,593,262,"9,790",739,885,"1,471","1,269","1,133","1,685","1,672",369
2022-02-08,"36,696","5,905","1,921","1,786","2,981","1,241",943,501,244,"12,132",738,799,"1,401","1,226","1,015","1,545","1,897",380
2022-02-09,"49,511","11,662","3,032","2,414","3,930","1,503","1,129",791,286,"13,632",945,"1,376","1,767","1,562","1,127","1,958","1,943",412
2022-02-10,"54,103","11,872","2,630","2,329","3,994","1,427","1,449",732,273,"17,748",964,"1,077","1,715","1,770","1,495","1,818","2,339",448
2022-02-11,"53,862","11,529","3,011","2,493","3,745","1,408","1,423",795,332,"17,923","1,087","1,155","1,586","1,506","1,241","1,926","2,191",475
2022-02-12,"54,917","13,195","3,051","2,370","5,068","1,576","1,511",726,326,"15,945",960,"1,156","2,185","1,547","1,214","1,831","1,698",503
2022-02-13,"56,363","11,818","3,441","2,573","4,472","1,540","1,495",803,384,"17,039",985,"1,331","2,355","1,642","1,181","2,054","2,666",554
2022-02-14,"54,524","11,527","3,520","2,606","3,577","1,539","1,613",676,353,"15,861","1,092","1,542","2,495","1,591","1,264","1,917","2,804",507
2022-02-15,"57,140","12,438","3,085","2,362","4,898","1,608","1,576",775,415,"17,237","1,179","1,327","2,218","1,579","1,301","1,765","2,770",551
2022-02-16,"90,411","18,870","6,482","4,188","5,816","2,298","2,590","1,758",696,"27,957","1,783","2,203","3,003","2,561","1,929","2,868","4,447",924
2022-02-17,"93,104","19,683","6,217","4,198","7,232","2,610","2,702","1,688",655,"28,443","1,729","2,167","3,015","2,572","1,893","2,901","4,479",882
2022-02-18,"109,781","25,634","6,577","4,538","7,340","2,669","2,980","1,946",703,"36,493","1,932","2,546","2,944","2,510","1,911","3,285","4,621","1,113"
2022-02-19,"102,174","23,177","6,534","4,223","7,816","2,741","3,032","1,829",677,"30,629","1,799","2,394","4,077","2,492","1,899","3,186","4,417","1,205"
2022-02-20,"104,794","22,087","6,945","4,707","9,187","2,661","3,108","1,919",658,"31,319","1,999","2,311","3,347","2,791","2,064","3,349","5,092","1,230"
2022-02-21,"95,337","20,008","7,541","4,160","7,363","2,589","2,907","1,593",646,"26,769","2,015","2,226","3,313","2,728","2,069","3,249","5,045","1,080"
2022-02-22,"99,531","21,787","6,140","4,158","7,772","3,247","2,848","1,939",648,"29,546","2,057","2,187","3,336","2,463","2,109","3,126","4,839","1,300"
2022-02-23,"171,415","41,455","12,814","6,306","11,056","4,225","4,078","3,447","1,079","53,521","3,192","3,474","4,838","4,024","3,083","4,995","8,023","1,760"
2022-02-24,"169,974","37,157","11,832","7,148","13,861","4,136","4,504","3,231","1,082","51,312","3,120","4,354","4,987","3,908","3,367","5,204","9,213","1,505"
2022-02-25,"165,834","35,581","12,734","6,290","12,847","4,604","4,406","3,532","1,064","48,071","3,428","3,967","5,184","4,216","3,532","5,392","8,895","2,061"
2022-02-26,"166,169","36,821","13,013","6,990","12,112","4,883","4,266","3,128",998,"48,138","3,264","3,791","5,284","4,161","3,436","5,305","8,643","1,917"
2022-02-27,"163,525","35,337","13,667","6,157","11,131","4,273","4,048","3,315",921,"46,793","3,380","4,089","5,962","4,216","3,413","5,383","9,245","2,167"
2022-02-28,"139,604","27,967","12,617","5,825","10,737","4,167","3,683","2,483",834,"37,250","3,318","3,051","5,084","4,070","3,320","4,940","8,413","1,806"
2022-03-01,"138,966","27,877","11,204","5,382","8,955","4,806","3,674","2,944",876,"39,199","3,477","3,501","4,853","3,938","3,283","4,668","8,030","2,271"
2022-03-02,"219,195","46,924","16,098","7,116","12,102","5,259","5,287","5,121","1,412","68,609","4,970","5,573","6,915","6,413","4,996","6,966","13,199","2,207"
2022-03-03,"198,783","43,667","14,257","8,080","15,964","6,998","5,067","3,389","1,022","51,937","4,615","4,828","6,639","5,285","5,243","6,533","11,943","3,293"
2022-03-04,"266,820","59,256","23,201","9,494","16,681","6,773","5,957","5,813","1,577","76,716","5,585","6,741","8,263","6,538","6,411","8,382","15,998","3,399"
2022-03-05,"254,284","53,179","21,821","9,563","18,825","7,407","5,692","5,581","1,458","70,236","5,916","6,943","8,009","6,988","5,967","8,221","15,155","3,285"
2022-03-06,"243,589","49,438","26,197","8,895","14,858","6,657","6,189","5,015","1,384","66,828","5,708","6,235","7,285","6,851","5,706","8,199","14,424","3,690"
2022-03-07,"210,679","39,546","26,443","7,789","15,323","6,472","5,760","3,913","1,163","51,103","5,451","4,901","6,775","6,065","5,737","7,512","13,450","3,233"
2022-03-08,"202,645","37,472","19,322","7,585","12,606","6,473","5,609","4,560","1,349","52,716","5,460","5,733","6,996","6,263","6,014","7,374","14,028","3,054"
2022-03-09,"342,396","74,215","31,146","12,896","18,826","7,418","7,977","6,582","2,214","96,665","8,685","9,147","10,825","9,679","7,951","12,286","22,006","3,856"
2022-03-10,"327,492","66,842","31,567","11,600","21,974","6,300","7,884","8,788","1,944","88,130","8,172","8,763","10,665","10,074","8,465","11,964","19,409","4,923"
2022-03-11,"282,949","56,590","22,916","10,304","17,456","8,848","7,212","5,261","1,840","72,417","7,482","7,912","10,798","8,852","8,984","10,315","21,427","4,289"
2022-03-12,"383,611","80,424","31,961","13,414","23,737","8,952","8,515","9,098","2,512","107,922","9,434","9,875","13,642","10,834","10,215","13,566","24,280","5,191"
2022-03-13,"350,126","67,798","33,428","12,695","20,233","7,193","8,650","9,167","2,325","91,452","9,378","9,995","10,740","11,440","9,544","13,771","26,098","6,203"
2022-03-14,"309,741","56,785","27,753","12,406","18,239","8,339","8,290","5,335","2,139","77,408","9,044","8,324","12,328","11,173","10,932","12,618","23,765","4,827"
2022-03-15,"362,222","66,047","26,142","14,346","20,441","11,171","8,307","8,302","2,514","102,943","9,703","10,921","16,287","11,259","11,449","14,534","23,928","3,900"
2022-03-16,"400,445","81,367","39,310","16,751","28,450","10,425","8,810","10,362","2,032","94,744","9,652","13,743","13,701","15,376","9,311","16,781","21,893","7,677"
2022-03-17,"621,035","128,314","42,409","24,462","32,959","16,945","12,476","14,766","5,232","181,911","15,447","17,740","22,986","18,584","18,945","19,163","44,531","4,142"
2022-03-18,"406,778","81,971","25,471","16,012","25,793","15,445","11,329","7,802","3,116","113,612","11,401","12,168","14,238","10,885","11,358","18,028","23,718","4,409"
2022-03-19,"381,317","82,081","25,742","14,838","20,835","11,566","10,852","7,849","3,120","101,499","10,540","11,966","15,623","9,921","10,778","14,942","22,733","6,386"
2022-03-20,"334,545","65,832","19,528","13,607","19,147","10,029","11,479","7,321","1,951","88,428","9,196","11,254","12,642","9,681","10,894","12,985","24,334","6,222"
2022-03-21,"209,087","41,054","8,974","6,125","12,084","8,459","8,388","4,238","2,369","56,885","6,608","5,371","8,724","7,897","6,857","9,774","11,968","3,290"
2022-03-22,"353,850","64,997","24,694","17,354","17,564","6,985","9,871","8,219","3,334","96,225","10,428","11,823","15,146","12,582","12,274","14,428","24,702","3,191"
2022-03-23,"490,671","101,086","26,008","20,864","24,938","12,185","14,523","11,028","3,452","136,848","14,318","16,649","18,870","15,906","15,430","20,781","32,188","5,570"
2022-03-24,"395,487","77,731","18,730","15,693","24,689","12,465","11,268","8,355","3,746","107,444","11,526","12,582","16,427","12,913","13,689","18,100","25,063","5,028"
2022-03-25,"339,420","66,919","16,704","14,005","21,773","10,262","8,258","7,430","3,481","87,664","10,541","11,551","13,816","12,822","12,669","15,060","21,665","4,787"
